,GrLivArea,OverallQual,GarageCars,Fireplaces_ordinal,MSZoning_ordinal,SalePrice
738,1200,5,0,0,2,179000
739,1728,7,2,0,2,190000
740,1432,5,2,0,1,132000
741,912,6,1,0,2,142000
742,1349,7,2,0,2,179000
743,1464,5,2,2,2,175000
744,1337,8,2,2,2,180000
745,2715,8,2,2,2,299800
746,2256,7,2,2,2,236000
747,2640,7,4,3,1,265979
748,1720,7,2,2,2,260400
750,1140,4,0,0,1,96500
751,1320,7,2,0,2,162000
752,1494,6,2,0,2,217000
753,2098,8,3,3,2,275500
754,1026,6,2,0,2,156000
755,1471,6,2,0,3,172500
756,1768,8,2,0,2,212000
757,1386,6,2,2,2,158900
758,1501,7,2,0,3,179400
759,2531,8,3,2,2,290000
760,864,6,1,0,2,127500
761,1301,5,2,0,1,100000
762,1547,7,2,0,3,215200
763,2365,8,3,3,2,337000
764,1494,8,2,3,2,270000
765,1506,9,2,3,2,264132
766,1714,7,2,2,2,196500
767,1750,6,1,0,2,160000
768,1836,7,2,3,2,216837
769,3279,8,3,3,2,538000
770,858,5,2,0,2,134900
771,1220,4,2,0,2,102000
772,1117,6,2,2,2,107000
773,912,5,1,0,2,114500
774,1973,8,3,3,2,395000
775,1204,6,2,0,1,162000
776,1614,7,3,0,2,221500
777,894,5,2,1,2,142500
779,1004,6,2,0,2,135000
780,1253,7,2,2,2,176000
781,1603,6,2,0,2,175900
782,1430,7,2,0,2,187100
783,1110,5,2,2,2,165500
784,1484,6,0,3,1,128000
785,1342,6,2,3,2,161500
786,1652,5,1,0,1,139000
787,2084,7,2,0,2,233000
788,901,4,1,0,1,107900
789,2087,6,2,0,2,187500
790,1145,7,2,3,2,160200
791,1062,6,2,2,2,146800
792,2013,7,2,2,2,269790
793,1496,8,2,0,2,225000
794,1895,7,2,2,2,194500
795,1564,6,2,2,2,171000
796,1285,6,2,2,2,143500
797,773,5,1,0,2,110000
798,3140,9,3,3,2,485000
799,1768,5,1,2,2,175000
800,1688,6,2,0,2,200000
801,1196,4,2,0,1,109900
802,1456,7,2,3,2,189000
803,2822,9,3,3,2,582933
804,1128,5,1,0,2,118000
805,1428,7,2,0,2,227680
806,980,5,1,0,2,135500
807,1576,5,2,2,2,223500
808,1086,5,2,3,2,159950
809,2138,5,2,0,1,106000
810,1309,6,2,1,2,181000
811,848,6,2,3,1,144500
812,1044,5,2,0,0,55993
813,1442,6,1,0,2,157900
814,1250,5,1,0,2,116000
815,1661,7,2,0,2,224900
816,1008,5,1,3,2,137000
817,1689,8,3,3,2,271000
818,1052,6,2,0,2,155000
819,1358,7,2,3,2,224000
820,1640,7,2,0,2,183000
821,936,4,2,0,1,93000
822,1733,7,2,3,2,225000
823,1489,6,1,3,2,139500
824,1489,8,2,3,3,232600
825,2084,10,3,3,2,385000
826,784,5,0,0,1,109500
827,1434,7,2,2,2,189000
828,2126,5,2,0,2,185000
829,1223,7,2,0,3,147400
830,1392,6,2,3,2,166000
831,1200,7,2,0,3,151000
832,1829,7,2,2,2,237000
833,1516,6,2,0,2,167000
834,1144,5,2,0,2,139950
835,1067,4,2,0,2,128000
836,1559,5,2,0,1,153500
837,987,6,1,0,1,100000
838,1099,5,1,0,2,144000
839,1200,5,1,0,2,130500
840,1482,6,1,0,1,140000
841,1539,5,2,1,1,157500
842,1165,6,2,0,2,174900
843,1800,5,0,0,2,141000
844,1416,5,3,3,1,153900
845,1701,5,2,2,2,171000
846,1775,7,2,2,2,213000
847,864,5,1,1,2,133500
848,2358,6,2,3,2,240000
849,1855,6,2,2,2,187000
850,848,6,2,0,1,131500
851,1456,8,2,2,2,215000
852,1646,7,1,3,2,164000
853,1445,6,2,1,2,158000
854,1779,5,2,3,2,170000
855,1040,5,1,0,2,127000
856,1026,6,2,0,2,147000
857,1481,6,2,2,2,174000
858,1370,7,2,2,2,152000
859,2654,6,2,3,2,250000
860,1426,7,1,3,2,189950
861,1039,5,2,0,2,131500
862,1097,6,2,0,2,152000
863,1148,5,1,0,2,132500
864,1372,7,2,0,3,250580
865,1002,5,2,0,2,148500
866,1646,8,3,3,2,248900
867,1120,4,2,0,2,129000
869,1949,7,2,2,2,236000
870,894,5,1,0,2,109500
871,1682,6,2,0,2,200500
872,910,5,2,0,2,116000
873,1268,5,1,3,2,133000
874,1131,5,1,0,1,66500
875,2610,8,2,3,3,303477
876,1040,4,2,0,2,132250
877,2224,9,3,3,2,350000
878,1155,5,2,0,2,148000
879,864,5,1,0,2,136500
880,1090,5,2,0,2,157000
881,1717,7,2,2,2,187500
882,1593,6,2,2,2,178000
883,2230,4,1,0,2,118500
884,892,5,1,0,2,100000
885,1709,9,2,2,3,328900
886,1712,5,2,0,2,145000
887,1393,5,1,0,2,135500
888,2217,8,2,2,2,268000
889,1505,6,2,2,2,149500
890,924,5,2,1,2,122900
891,1683,6,2,2,2,172500
892,1068,6,1,0,2,154500
893,1383,5,1,3,2,165000
895,1796,6,2,2,2,140000
896,951,4,1,0,1,106500
898,2364,9,3,3,2,611657
899,1236,5,1,2,2,135000
900,858,4,1,0,2,110000
901,1306,5,1,0,2,153000
902,1509,7,2,3,2,180000
903,1670,7,3,3,2,240000
904,902,5,1,0,2,125500
905,1063,5,1,0,2,128000
906,1636,8,3,3,2,255000
907,2057,7,1,3,2,250000
908,902,5,2,0,2,131000
909,1484,6,2,3,2,174000
910,2274,5,2,0,2,154300
911,1268,5,1,0,2,143500
912,1015,5,1,0,1,88000
913,2002,5,3,0,1,145000
914,1224,6,2,0,3,173733
915,1092,4,1,0,1,75000
916,480,2,1,0,0,35311
917,1229,4,1,0,2,135000
918,2127,7,3,2,2,238000
919,1414,6,2,2,2,176500
920,1721,6,2,0,2,201000
921,2200,5,0,0,2,145900
922,1316,6,2,3,2,169990
923,1617,6,2,1,2,193000
924,1686,6,2,2,2,207500
925,1126,5,2,0,2,175000
926,2374,8,3,3,2,285000
927,1978,7,2,3,2,176000
928,1788,8,2,2,2,236500
929,2236,7,2,2,2,222000
930,1466,8,3,0,2,201000
931,925,5,1,0,2,117500
932,1905,9,3,3,2,320000
933,1500,7,2,0,2,190000
934,2069,7,2,3,2,242000
935,747,4,2,0,2,79900
937,1971,7,2,3,2,253000
938,1962,7,3,0,2,239799
939,2403,7,1,2,2,244400
940,1728,6,2,0,2,150900
941,2060,7,2,2,2,214000
942,1440,4,0,0,2,150000
943,1632,5,2,0,2,143000
944,1344,6,2,3,2,137500
945,1869,5,2,0,1,124900
946,1144,5,1,2,2,143000
947,1629,8,3,3,2,270000
949,1381,6,2,2,2,197500
950,864,5,2,0,2,129000
951,965,5,1,0,1,119900
952,768,5,1,0,2,133900
953,1968,5,2,1,2,172000
954,980,6,0,0,2,127500
955,1958,6,2,0,1,145000
956,1229,6,2,2,1,124000
957,1057,5,2,0,2,132000
958,1337,7,2,0,2,185000
959,1416,7,2,0,3,155000
960,858,5,0,0,2,116500
961,2872,6,2,2,2,272000
962,1548,6,2,2,2,155000
963,1800,9,2,0,2,239000
964,1894,7,2,3,2,214900
965,1484,6,2,3,2,178900
966,1308,5,1,2,2,160000
967,1098,5,1,0,2,135000
968,968,3,0,0,1,37900
969,1095,6,1,0,2,140000
970,1192,4,0,0,2,135000
971,1626,7,2,0,2,173000
972,918,6,1,2,2,99500
974,2019,7,2,0,2,167500
975,1382,7,2,0,3,165000
976,869,4,0,0,2,85500
978,894,4,2,0,2,110000
979,1121,5,2,0,2,139000
980,999,7,2,0,2,178400
981,2612,8,3,2,2,336000
982,1266,7,2,3,2,159895
983,2290,8,2,3,2,255900
985,1164,5,1,0,2,125000
986,1635,6,1,0,1,117000
987,1940,9,3,3,2,395192
988,2030,6,2,2,2,195000
989,1576,7,2,0,3,197000
990,2392,8,3,2,2,348000
991,1742,8,2,3,1,168000
992,1851,6,2,1,2,187000
993,1500,6,2,0,2,173900
994,1718,10,3,3,2,337500
995,1230,4,1,0,2,121600
996,1050,5,1,0,2,136500
997,1442,6,2,2,2,185000
998,1077,3,1,3,1,91000
999,1208,7,2,0,2,206000
1001,691,5,1,0,2,86000
1002,1574,8,3,3,2,232000
1003,1680,5,2,0,2,136905
1004,1504,7,2,3,2,181000
1005,985,5,1,0,2,149900
1006,1657,6,2,2,2,163500
1007,1092,4,1,0,1,88000
1008,1710,7,2,3,2,240000
1009,1522,5,0,0,2,102000
1010,1271,5,1,3,2,135000
1012,1502,6,1,2,2,165000
1013,1022,5,1,0,1,85000
1014,1082,6,1,3,2,119200
1015,1665,8,2,0,2,227000
1016,1504,7,2,2,2,203000
1017,1360,8,2,4,2,187500
1018,1472,7,2,2,2,160000
1019,1506,7,2,3,2,213490
1020,1132,4,2,0,2,176000
1021,1220,7,2,0,2,194000
1022,1248,5,1,0,1,87000
1023,1504,7,2,3,2,191000
1024,2898,8,2,3,2,287000
1025,882,5,2,0,2,112500
1026,1264,5,2,3,2,167500
1027,1646,8,3,3,2,293077
1028,1376,5,1,3,2,105000
1029,1218,6,1,0,1,118000
1030,1928,5,0,0,1,160000
1031,3082,7,2,2,2,197000
1032,2520,8,3,2,2,310000
1033,1654,7,3,0,2,230000
1034,954,5,1,3,2,119750
1036,1620,9,3,4,2,315500
1037,2263,8,2,2,2,287000
1038,1344,4,0,2,1,97000
1039,630,4,1,0,1,80000
1040,1803,5,2,2,2,155000
1041,1632,6,2,0,2,173000
1042,1306,6,2,3,2,196000
1043,2329,7,2,4,2,262280
1044,2524,8,2,3,2,278000
1046,2868,9,3,3,2,556581
1047,990,5,2,0,2,145000
1050,1302,7,2,0,2,176485
1051,1316,7,2,3,2,200141
1052,1977,6,2,2,2,165000
1053,1526,5,1,3,2,144500
1054,1989,8,2,3,2,255000
1055,1523,6,2,2,2,180000
1056,1364,7,2,3,2,185850
1057,1850,7,2,3,2,248000
1058,2184,9,3,3,2,335000
1059,1991,6,2,3,2,220000
1060,1338,8,2,0,2,213500
1061,894,3,3,0,0,81000
1062,2337,5,2,0,1,90000
1063,1103,6,2,3,1,110500
1064,1154,5,2,1,2,154000
1065,2260,7,2,0,2,328000
1066,1571,6,2,2,2,178000
1067,1611,6,2,0,2,167900
1068,2521,6,2,3,1,151400
1069,893,5,2,0,2,135000
1070,1048,5,1,0,2,135000
1071,1556,6,2,0,2,154000
1072,1456,5,1,2,2,91500
1073,1426,6,2,0,2,159500
1074,1240,7,3,0,2,194000
1075,1740,7,1,3,2,219500
1076,1466,5,2,2,2,170000
1077,1096,5,1,0,2,138800
1078,848,6,2,3,1,155900
1079,990,5,1,0,2,126000
1080,1258,6,2,0,2,145000
1081,1040,5,1,0,2,133000
1082,1459,7,2,3,2,192000
1083,1251,6,1,3,2,160000
1084,1498,6,2,2,2,187500
1085,996,6,2,0,2,147000
1086,1092,4,1,0,1,83500
1087,1953,8,3,3,3,252000
1088,1709,7,2,0,1,137500
1089,1247,8,2,3,3,197000
1091,1252,7,2,0,3,160000
1092,1694,6,2,3,2,136500
1093,1200,5,2,0,2,146000
1094,936,5,1,0,2,129000
1095,1314,6,2,3,2,176432
1096,1355,6,0,0,1,127000
1097,1088,8,2,0,2,170000
1098,1324,4,1,0,1,128000
1099,1601,7,2,2,2,157000
1100,438,2,1,0,2,60000
1101,950,5,1,0,2,119500
1102,1134,5,1,0,2,135000
1103,1194,6,2,1,2,159500
1104,1302,5,2,0,1,106000
1105,2622,8,2,2,2,325000
1106,1442,7,2,2,2,179900
1107,2021,7,2,3,2,274725
1108,1690,6,2,2,2,181000
1109,1836,8,3,3,2,280000
1110,1658,6,2,2,2,188000
1111,1964,7,2,3,2,205000
1112,816,5,1,0,2,129900
1113,1008,5,1,0,2,134500
1114,833,5,1,0,2,117000
1115,1734,8,3,3,2,318000
1116,1419,8,2,2,2,184100
1117,894,5,2,0,2,130000
1118,1601,5,1,0,2,140000
1119,1040,5,1,0,2,133700
1120,1012,6,1,3,1,118400
1121,1552,7,3,0,2,212900
1122,960,4,1,0,2,112000
1123,698,5,0,0,2,118000
1124,1482,7,2,2,2,163900
1125,1005,4,2,2,2,115000
1126,1555,7,3,2,2,174000
1127,1530,7,3,3,2,259000
1128,1959,7,2,3,2,215000
1129,936,5,2,0,1,140000
1130,1981,4,2,2,2,135000
1131,974,5,0,0,2,93500
1132,2210,6,1,0,1,117500
1133,2020,8,2,2,2,239500
1134,1600,6,2,2,2,169000
1135,986,6,1,3,1,102000
1136,1252,6,1,0,2,119000
1137,1020,5,0,0,2,94000
1138,1567,6,2,2,2,196000
1139,1167,5,2,3,2,144000
1140,952,5,2,0,2,139000
1141,1868,5,2,2,2,197500
1142,2828,8,3,2,2,424870
1143,1006,5,0,0,2,80000
1144,924,4,1,0,2,80000
1145,1576,5,1,3,1,149000
1146,1298,6,2,2,2,180000
1147,1564,7,1,3,2,174500
1148,1111,7,1,3,1,116900
1149,1482,7,2,0,1,143000
1150,932,6,1,3,2,124000
1151,1466,5,2,3,2,149900
1152,1811,6,2,3,2,230000
1153,816,6,1,0,1,120500
1154,1820,7,2,3,2,201800
1155,1437,5,2,1,2,218000
1156,1265,5,2,3,2,179900
1157,1314,7,2,3,2,230000
1158,1580,8,3,0,2,235128
1159,1876,6,2,2,2,185000
1160,1456,6,2,2,2,146000
1161,1640,6,2,3,2,224000
1162,894,5,2,1,2,129000
1163,1258,4,2,0,2,108959
1164,1432,5,2,2,2,194000
1165,1502,7,2,0,2,233170
1166,1694,8,3,0,2,245350
1167,1671,6,2,2,2,173000
1168,2108,6,2,2,2,235000
1169,3627,10,3,2,2,625000
1170,1118,6,1,1,2,171000
1171,1261,6,2,2,2,163000
1172,1250,7,2,0,3,171900
1173,3086,5,0,3,2,200500
1174,2345,6,2,3,2,239000
1175,2872,8,2,2,2,285000
1176,923,5,1,0,2,119500
1177,1224,6,1,0,1,115000
1178,1343,5,1,3,2,154900
1180,2514,7,2,0,2,250000
1181,1652,8,2,3,1,392500
1182,4476,10,3,2,2,745000
1183,1130,5,2,3,2,120000
1184,1572,5,3,2,2,186700
1185,1221,5,1,0,2,104900
1186,1699,3,2,0,2,95000
1187,1624,8,3,1,2,262000
1188,1660,7,2,0,2,195000
1189,1804,7,2,2,2,189000
1190,1622,4,4,2,2,168000
1191,1441,8,2,0,3,174000
1192,1472,5,1,0,1,125000
1193,1224,6,2,0,1,165000
1194,1352,6,1,0,2,158000
1195,1456,6,2,0,2,176000
1196,1863,7,3,3,2,219210
1197,1690,7,1,3,1,144000
1198,1212,7,2,0,2,178000
1199,1382,4,2,1,2,148000
1200,864,4,1,0,2,116050
1201,1779,7,2,0,2,197900
1202,1348,5,1,1,1,117000
1203,1630,7,2,2,2,213000
1204,1074,5,2,0,2,153500
1205,2196,7,3,2,2,271900
1206,1056,4,1,0,1,107000
1207,1700,6,2,0,2,200000
1208,1283,5,2,0,2,140000
1209,1660,8,2,3,2,290000
1210,1845,6,2,2,2,189000
1211,1752,8,2,0,2,164000
1212,672,4,1,0,2,113000
1213,960,4,1,0,2,145000
1214,999,5,1,0,2,134500
1215,894,5,1,0,2,125000
1217,1314,8,2,0,3,229456
1219,1218,6,0,0,1,91500
1220,912,5,1,0,2,115000
1221,1211,5,1,2,2,134000
1222,1846,6,1,3,2,143000
1223,2136,5,2,0,2,137900
1224,1490,7,2,3,2,184000
1225,1138,6,1,0,2,145000
1226,1933,6,3,3,2,214000
1227,912,5,2,0,2,147000
1228,1702,9,3,3,2,367294
1229,1507,5,1,0,2,127000
1230,2620,5,2,2,2,190000
1231,1190,5,2,0,2,132500
1233,1188,5,2,0,2,142000
1234,1964,5,0,0,1,130000
1235,1784,5,1,0,2,138887
1236,1626,7,2,0,2,175500
1237,1948,7,2,3,2,195000
1238,1141,6,2,0,2,142500
1239,1484,8,2,3,2,265900
1240,1768,7,2,0,2,224900
1241,1689,7,3,0,2,248328
1242,1173,7,2,2,2,170000
1244,1517,8,2,3,2,230000
1245,1868,6,2,2,2,178000
1246,1553,7,2,0,3,186500
1247,1034,6,3,0,2,169900
1248,2058,6,2,3,1,129500
1249,988,5,1,0,2,119000
1250,2110,7,2,2,2,244000
1251,1405,7,2,3,2,171750
1252,874,5,1,0,2,130000
1253,2167,7,2,3,2,294000
1254,1656,7,2,3,2,165400
1255,1367,6,1,3,1,127500
1256,1987,8,2,2,2,301500
1257,864,5,0,0,2,99900
1258,1166,7,2,0,2,190000
1259,1054,6,2,0,2,151000
1260,1675,6,2,2,2,181000
1261,1050,5,1,0,2,128900
1262,1788,4,1,2,2,161500
1263,1824,6,2,3,2,180500
1264,1337,6,2,0,1,181000
1265,1452,7,2,0,3,183900
1266,1889,7,1,3,1,122000
1267,2018,9,3,3,2,378500
1268,3447,8,3,3,2,381000
1269,1524,5,1,0,2,144000
1270,1524,7,2,2,2,260000
1271,1489,6,2,3,2,185750
1272,935,5,1,0,2,137000
1273,1357,6,1,3,2,177000
1274,1250,5,2,3,2,139000
1275,1920,5,2,0,2,137000
1276,1395,6,2,2,2,162000
1277,1724,6,2,3,2,197900
1279,1128,4,2,0,0,68400
1280,1573,7,2,0,2,227000
1281,1339,7,2,2,2,180000
1282,1040,5,2,0,2,150500
1283,1824,6,0,0,2,139000
1284,2447,6,1,3,2,169000
1285,1412,6,1,3,1,132500
1286,1328,6,2,3,2,143000
1287,1582,5,2,0,2,190000
1288,1659,8,2,4,2,278000
1289,1970,8,3,3,2,281000
1290,1152,5,2,3,2,180500
1291,1302,5,1,0,1,119500
1292,2372,5,1,0,1,107500
1293,1664,7,2,2,2,162900
1294,864,5,2,0,2,115000
1295,1052,5,1,0,2,138500
1296,1128,5,2,0,2,155000
1297,1072,6,2,0,1,140000
1298,5642,10,2,3,2,160000
1299,1246,5,1,0,2,154000
1300,1983,7,2,2,2,225000
1301,1494,6,1,3,2,177500
1302,2526,8,3,2,2,290000
1303,1616,7,3,0,2,232000
1304,1708,7,2,0,1,130000
1305,1652,9,2,4,2,325000
1306,1368,7,2,3,2,202500
1307,990,5,2,0,2,138000
1308,1122,5,2,0,1,147000
1309,1294,6,2,0,2,179200
1310,1902,7,2,2,2,335000
1311,1274,7,2,0,2,203000
1312,2810,8,2,4,2,302000
1313,2599,9,3,2,2,333168
1314,948,4,1,2,2,119000
1315,2112,6,2,3,2,206900
1316,1630,8,3,3,2,295493
1317,1352,7,2,3,3,208900
1318,1787,8,3,2,2,275000
1319,948,4,1,0,2,111000
1320,1478,6,2,3,2,156500
1322,1923,7,2,2,2,190000
1323,708,4,0,0,2,82500
1324,1795,8,3,3,2,147000
1325,796,4,0,0,1,55000
1326,774,3,0,0,1,79000
1327,816,5,1,4,2,130500
1328,2792,6,2,2,1,256000
1329,1632,7,2,2,2,176500
1330,1588,8,3,3,2,227000
1331,954,5,2,0,2,132500
1332,816,4,1,3,2,100000
1333,1360,5,1,0,1,125500
1334,1365,5,2,0,1,125000
1335,1334,6,2,2,2,167900
1336,1656,5,2,0,2,135000
1337,693,4,0,0,1,52500
1338,1861,7,2,0,2,200000
1339,864,5,1,0,2,128500
1340,872,4,4,0,2,123000
1341,1114,6,2,0,2,155000
1342,2169,8,2,3,2,228500
1343,1913,6,2,2,2,177000
1344,1456,7,2,2,2,155835
1345,960,4,1,0,1,108500
1346,2156,7,2,3,2,262500
1347,1776,8,3,3,2,283463
1348,1494,7,2,1,2,215000
1349,2358,8,0,0,1,122000
1350,2634,5,4,0,2,200000
1351,1716,6,2,3,2,171000
1352,1176,6,2,0,1,134900
1353,3238,8,3,4,2,410000
1354,1865,7,3,2,2,235000
1355,1920,7,2,2,2,170000
1356,892,5,1,0,2,110000
1357,1078,5,2,1,2,149900
1358,1573,6,2,0,3,177500
1359,1980,9,3,3,2,315000
1360,2601,5,2,0,2,189000
1361,1530,7,2,3,2,260000
1362,1738,4,1,3,2,104900
1363,1412,6,2,3,2,156932
1364,1200,7,2,0,3,144152
1365,1674,7,2,0,3,216000
1366,1790,7,2,0,2,193000
1367,1475,5,1,2,1,127000
1368,848,6,2,0,1,144000
1369,1668,8,2,2,2,232000
1370,1374,4,1,0,2,105000
1371,1661,6,1,2,2,165500
1372,2097,7,2,2,2,274300
1373,2633,10,3,3,2,466500
1374,1958,7,3,3,3,250000
1375,1571,8,3,3,2,239000
1376,790,6,1,0,2,91000
1377,1604,5,2,0,2,117000
1378,987,6,1,0,1,83000
1380,864,3,1,0,2,58500
1381,2117,6,2,3,2,237500
1382,1762,7,2,0,1,157000
1383,1416,5,2,0,2,112000
1384,1258,6,1,0,2,105000
1385,1154,4,1,0,1,125500
1386,2784,7,2,2,2,250000
1387,2526,6,1,3,1,136000
1388,1746,9,3,3,2,377500
1389,1218,6,2,3,1,131000
1390,1525,7,2,0,2,235000
1391,1584,5,3,0,2,124000
1392,900,5,1,1,2,123000
1393,1912,6,2,2,1,163000
1394,1500,7,3,3,2,246578
1395,2482,8,3,3,2,281213
1396,1687,5,2,2,2,160000
1397,1513,5,1,0,1,137500
1398,1904,5,1,0,2,138000
1399,1608,6,1,3,2,137450
1400,1158,6,1,3,1,120000
1401,1593,6,2,2,2,193000
1402,1294,7,2,3,2,193879
1403,1464,8,3,0,2,282922
1404,1214,3,3,0,2,105000
1405,1646,8,2,3,1,275000
1406,768,5,2,0,2,133000
1407,833,5,0,0,2,112000
1408,1363,4,2,0,1,125500
1409,2093,7,2,2,2,215000
1410,1840,7,2,0,2,230000
1411,1668,6,1,0,2,140000
1413,1844,8,2,3,2,257000
1414,1848,6,2,3,2,207000
1415,1569,7,3,2,2,175900
1416,2290,4,2,0,1,122500
1417,2450,8,3,2,2,340000
1418,1144,5,1,0,2,124000
1419,1844,6,2,2,2,223000
1420,1416,6,2,2,2,179900
1421,1069,6,2,1,2,127500
1422,848,6,2,0,1,136500
1423,2201,6,2,3,2,274970
1424,1344,5,1,2,2,144000
1425,1252,6,2,0,2,142000
1426,2127,7,2,2,2,271000
1427,1558,5,1,2,2,140000
1428,804,5,1,3,1,119000
1429,1440,6,2,2,2,182900
1430,1838,5,2,3,2,192140
1431,958,6,2,0,2,143750
1432,968,4,1,0,2,64500
1433,1792,6,2,2,2,186500
1434,1126,5,2,3,2,160000
1435,1537,6,2,3,2,174000
1436,864,4,2,0,2,120500
1437,1932,8,3,3,2,394617
1438,1236,6,2,0,1,149700
1439,1725,7,2,2,2,197000
1440,2555,6,2,3,2,191000
1441,848,6,2,2,1,149300
1442,2007,10,3,4,3,310000
1443,952,6,1,3,2,121000
1444,1422,7,2,0,2,179600
1445,913,6,1,0,2,129000
1446,1188,5,1,0,2,157900
1447,2090,8,2,2,2,240000
1448,1346,4,1,0,2,112000
1449,630,5,0,0,1,92000
1450,1792,5,0,0,2,136000
1451,1578,8,3,3,2,287090
1452,1072,5,2,0,1,145000
1453,1140,5,0,0,2,84500
1454,1221,7,2,0,3,185000
1455,1647,6,2,2,2,175000
1456,2073,6,2,2,2,210000
1457,2340,7,1,3,2,266500
1458,1078,5,1,0,2,142125
1459,1256,5,1,0,2,147500
